                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62016,                0.88719,                 1.0473,                 0.6765,                0.79323,                0.83806,                0.70658,                0.65267,                0.87765,                0.92505,             0.00080401,             0.00080401,             0.00080401
                     37,                0.61302,                0.87516,                 1.0442,                0.67267,                0.73066,                0.78399,                0.66214,                0.65366,                 1.0037,                0.92619,             0.00080101,             0.00080101,             0.00080101
                     38,                 0.6031,                0.89216,                 1.0406,                0.77831,                0.74122,                0.85224,                0.71919,                0.61333,                0.82445,                0.91083,             0.00079801,             0.00079801,             0.00079801
                     39,                 0.6055,                0.86575,                  1.044,                0.72944,                0.80787,                0.85376,                0.73414,                 0.5856,                 0.8173,                0.89363,             0.00079501,             0.00079501,             0.00079501
                     40,                0.61337,                0.84664,                 1.0452,                0.75931,                0.81431,                0.84574,                0.71345,                0.62559,                0.77769,                0.93631,             0.00079201,             0.00079201,             0.00079201
                     41,                0.60667,                 0.8446,                 1.0468,                0.72267,                 0.7466,                0.80567,                0.67257,                0.62254,                0.86764,                0.91987,             0.00078901,             0.00078901,             0.00078901
                     42,                0.58712,                0.82104,                 1.0346,                0.69597,                0.77458,                0.80959,                0.68603,                0.58525,                0.92622,                 0.8896,             0.00078601,             0.00078601,             0.00078601
                     43,                0.59869,                0.79059,                 1.0402,                0.75455,                0.84673,                 0.8896,                0.75255,                0.60674,                0.76156,                0.90121,             0.00078301,             0.00078301,             0.00078301
                     44,                0.60619,                0.79034,                 1.0398,                0.76685,                0.78036,                0.88455,                0.73215,                0.61629,                0.86479,                0.92175,             0.00078001,             0.00078001,             0.00078001
                     45,                0.57824,                0.81429,                 1.0242,                0.79634,                 0.7959,                0.89093,                 0.7561,                0.57301,                0.75705,                0.89877,             0.00077701,             0.00077701,             0.00077701
                     46,                0.59812,                0.84424,                 1.0535,                0.74456,                0.83628,                 0.8555,                0.72155,                0.65565,                 0.8881,                0.95867,             0.00077401,             0.00077401,             0.00077401
                     47,                0.57445,                0.79345,                 1.0396,                0.82153,                0.79261,                0.87009,                0.73809,                 0.6086,                 0.7787,                0.93435,             0.00077101,             0.00077101,             0.00077101
